year,num_total,rate_total,num_male,rate_male,num_female,rate_female,num_anyopioid,rate_any,num_heroin,rate_heroin,num_natural,rate_natural,num_methadone,rate_methadone,num_synthetic,rate_synthetic,num_cocaine,rate_cocaine,num_psychostimulant,rate_psychostimulant
2001,19394,6.8,12658,9,6736,4.6,9496,3.3,1779,0.6,3479,1.2,1456,0.5,957,0.3,3833,1.3,563,0.2
2002,23518,8.2,15028,10.6,8490,5.8,11920,4.1,2089,0.7,4416,1.5,2358,0.8,1295,0.4,4599,1.6,941,0.3
2003,25785,8.9,16399,11.5,9386,6.4,12940,4.5,2080,0.7,4867,1.7,2972,1,1400,0.5,5199,1.8,1179,0.4
2004,27424,9.4,17120,11.8,10304,6.9,13756,4.7,1878,0.6,5231,1.8,3845,1.3,1664,0.6,5443,1.9,1305,0.4
2005,29813,10.1,18724,12.8,11089,7.3,14918,5.1,2009,0.7,5774,1.9,4460,1.5,1742,0.6,6208,2.1,1608,0.5
2006,34425,11.5,21893,14.8,12532,8.2,17545,5.9,2088,0.7,7017,2.3,5406,1.8,2707,0.9,7448,2.5,1462,0.5
2007,36010,11.9,22298,14.9,13712,8.8,18516,6.1,2399,0.8,8158,2.7,5518,1.8,2213,0.7,6512,2.2,1378,0.4
2008,36450,11.9,22468,14.9,13982,8.9,19582,6.4,3041,1,9119,3,4924,1.6,2306,0.8,5129,1.7,1302,0.4
2009,37004,11.9,22593,14.8,14411,9.1,20422,6.6,3278,1.1,9735,3.1,4696,1.5,2946,1,4350,1.4,1632,0.5
2010,38329,12.3,23006,15,15323,9.6,21089,6.8,3036,1,10943,3.5,4577,1.5,3007,1,4183,1.3,1854,0.6
2011,41340,13.2,24988,16.1,16352,10.2,22784,7.3,4397,1.4,11693,3.7,4418,1.4,2666,0.8,4681,1.5,2266,0.7
2012,41502,13.1,25112,16.1,16390,10.2,23166,7.4,5925,1.9,11140,3.5,3932,1.2,2628,0.8,4404,1.4,2635,0.8
2013,43982,13.8,26799,17,17183,10.6,25052,7.9,8257,2.7,11346,3.5,3591,1.1,3105,1,4944,1.6,3627,1.2
2014,47055,14.7,28812,18.3,18243,11.1,28647,9,10574,3.4,12159,3.8,3400,1.1,5544,1.8,5415,1.7,4298,1.4
2015,52404,16.3,32957,20.8,19447,11.8,33091,10.4,12989,4.1,12727,3.9,3301,1,9580,3.1,6784,2.1,5716,1.8
2016,63632,19.8,41558,26.2,22074,13.4,42249,13.3,15469,4.9,14487,4.4,3373,1,19413,6.2,10375,3.2,7542,2.4
2017,70237,21.7,46552,29.1,23685,14.4,47600,14.9,15482,4.9,14495,4.4,3194,1,28466,9,13942,4.3,10333,3.2
2018,67367,20.7,44941,27.9,22426,13.6,46802,14.6,14996,4.7,12552,3.8,3023,0.9,31335,9.9,14666,4.5,12676,3.9
2019,70630,21.6,47881,29.6,22749,13.7,49860,15.5,14019,4.4,11886,3.6,2740,0.8,36359,11.4,15883,4.9,16167,5
2020,91799,28.3,63728,39.5,28071,17.1,68630,21.4,13165,4.1,13471,4,3543,1.1,56516,17.8,19447,6.9,23837,7.5
2021,107521,32.4,74301,45.1,32398,19.6,80411,24.7,9173,2.8,13618,4,3678,1.1,70601,21.8,24486,7.3,32537,10
